FECHA,DISTRITO,TEMPERATURA,PRECIPITACION,VIENTO,CÓDIGO,DIRECCION,Codigo Postal
2024-06-24,102,21.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-25,102,23.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-26,102,21.6,0.2,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-27,102,23.3,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-28,102,19.2,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-29,102,15.5,0.7,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-30,102,17.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-01,102,20.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-02,102,19.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-03,102,22.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-04,102,26.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-05,102,26.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-06,102,24.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-07,102,20.4,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-08,102,22.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-09,102,23.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-10,102,24.2,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-11,102,25.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-12,102,24.4,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-13,102,22.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-14,102,23.2,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-15,102,22.0,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-16,102,22.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-17,102,24.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-18,102,25.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-19,102,27.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-20,102,26.0,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-21,102,23.0,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-22,102,23.3,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-23,102,27.3,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-24,102,29.4,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-25,102,29.2,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-26,102,27.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-27,102,27.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-28,102,27.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-29,102,26.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-30,102,27.2,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-07-31,102,27.8,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-01-01,103,3.9,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-02,103,2.9,0.1,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-03,103,8.2,1.7,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-04,103,7.3,4.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-05,103,4.9,1.5,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-06,103,4.2,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-07,103,3.2,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-08,103,1.3,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-09,103,3.5,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-10,103,3.7,0.9,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-11,103,2.9,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-12,103,1.6,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-13,103,2.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
